client,context,offset,n_support,n_query,same_label_fraction
7,low_semantic_derangement,15,64,197,0.53125
7,high_semantic_derangement,20,64,197,0.6875
7,random_derangement_0,10,64,197,0.640625
7,random_derangement_1,62,64,197,0.671875
7,random_derangement_2,49,64,197,0.53125
7,random_derangement_3,24,64,197,0.609375
7,random_derangement_4,11,64,197,0.609375
7,random_derangement_5,52,64,197,0.625
7,random_derangement_6,33,64,197,0.59375
7,random_derangement_7,25,64,197,0.546875
7,correct_pair,0,64,197,1.0
7,t005_original,14,64,197,0.609375
8,low_semantic_derangement,1,64,193,0.75
8,high_semantic_derangement,7,64,193,0.84375
8,random_derangement_0,40,64,193,0.75
8,random_derangement_1,13,64,193,0.78125
8,random_derangement_2,24,64,193,0.75
8,random_derangement_3,12,64,193,0.78125
8,random_derangement_4,9,64,193,0.75
8,random_derangement_5,60,64,193,0.765625
8,random_derangement_6,36,64,193,0.78125
8,random_derangement_7,47,64,193,0.78125
8,correct_pair,0,64,193,1.0
8,t005_original,5,64,193,0.78125
9,low_semantic_derangement,2,64,176,0.65625
9,high_semantic_derangement,19,64,176,0.765625
9,random_derangement_0,41,64,176,0.765625
9,random_derangement_1,11,64,176,0.703125
9,random_derangement_2,7,64,176,0.734375
9,random_derangement_3,46,64,176,0.671875
9,random_derangement_4,31,64,176,0.71875
9,random_derangement_5,27,64,176,0.6875
9,random_derangement_6,57,64,176,0.734375
9,random_derangement_7,49,64,176,0.71875
9,correct_pair,0,64,176,1.0
9,t005_original,10,64,176,0.71875
10,low_semantic_derangement,9,64,282,0.359375
10,high_semantic_derangement,3,64,282,0.515625
10,random_derangement_0,13,64,282,0.359375
10,random_derangement_1,10,64,282,0.375
10,random_derangement_2,58,64,282,0.40625
10,random_derangement_3,3,64,282,0.515625
10,random_derangement_4,27,64,282,0.375
10,random_derangement_5,19,64,282,0.4375
10,random_derangement_6,15,64,282,0.484375
10,random_derangement_7,14,64,282,0.4375
10,correct_pair,0,64,282,1.0
10,t005_original,14,64,282,0.4375
11,low_semantic_derangement,27,64,180,0.40625
11,high_semantic_derangement,12,64,180,0.625
11,random_derangement_0,2,64,180,0.4375
11,random_derangement_1,24,64,180,0.5
11,random_derangement_2,58,64,180,0.5
11,random_derangement_3,41,64,180,0.4375
11,random_derangement_4,39,64,180,0.5
11,random_derangement_5,55,64,180,0.59375
11,random_derangement_6,5,64,180,0.5
11,random_derangement_7,57,64,180,0.4375
11,correct_pair,0,64,180,1.0
11,t005_original,20,64,180,0.46875
12,low_semantic_derangement,20,64,164,0.625
12,high_semantic_derangement,27,64,164,0.734375
12,random_derangement_0,60,64,164,0.640625
12,random_derangement_1,21,64,164,0.640625
12,random_derangement_2,27,64,164,0.734375
12,random_derangement_3,36,64,164,0.71875
12,random_derangement_4,2,64,164,0.71875
12,random_derangement_5,19,64,164,0.671875
12,random_derangement_6,32,64,164,0.65625
12,random_derangement_7,56,64,164,0.671875
12,correct_pair,0,64,164,1.0
12,t005_original,8,64,164,0.671875
13,low_semantic_derangement,12,64,80,0.46875
13,high_semantic_derangement,32,64,80,0.65625
13,random_derangement_0,50,64,80,0.546875
13,random_derangement_1,43,64,80,0.546875
13,random_derangement_2,10,64,80,0.546875
13,random_derangement_3,8,64,80,0.609375
13,random_derangement_4,9,64,80,0.53125
13,random_derangement_5,33,64,80,0.53125
13,random_derangement_6,42,64,80,0.5
13,random_derangement_7,51,64,80,0.578125
13,correct_pair,0,64,80,1.0
13,t005_original,9,64,80,0.53125
14,low_semantic_derangement,1,64,71,0.875
14,high_semantic_derangement,32,64,71,0.9375
14,random_derangement_0,20,64,71,0.875
14,random_derangement_1,16,64,71,0.90625
14,random_derangement_2,63,64,71,0.875
14,random_derangement_3,61,64,71,0.90625
14,random_derangement_4,22,64,71,0.875
14,random_derangement_5,55,64,71,0.875
14,random_derangement_6,47,64,71,0.875
14,random_derangement_7,39,64,71,0.875
14,correct_pair,0,64,71,1.0
14,t005_original,38,64,71,0.875
15,low_semantic_derangement,1,64,236,1.0
15,high_semantic_derangement,1,64,236,1.0
15,random_derangement_0,26,64,236,1.0
15,random_derangement_1,32,64,236,1.0
15,random_derangement_2,39,64,236,1.0
15,random_derangement_3,49,64,236,1.0
15,random_derangement_4,45,64,236,1.0
15,random_derangement_5,29,64,236,1.0
15,random_derangement_6,11,64,236,1.0
15,random_derangement_7,8,64,236,1.0
15,correct_pair,0,64,236,1.0
15,t005_original,55,64,236,1.0
16,low_semantic_derangement,24,61,21,0.3770491803278688
16,high_semantic_derangement,9,61,21,0.5409836065573771
16,random_derangement_0,45,61,21,0.4426229508196721
16,random_derangement_1,16,61,21,0.4426229508196721
16,random_derangement_2,19,61,21,0.4426229508196721
16,random_derangement_3,26,61,21,0.4262295081967213
16,random_derangement_4,9,61,21,0.5409836065573771
16,random_derangement_5,32,61,21,0.39344262295081966
16,random_derangement_6,21,61,21,0.4098360655737705
16,random_derangement_7,59,61,21,0.45901639344262296
16,correct_pair,0,61,21,1.0
16,t005_original,13,61,21,0.47540983606557374
17,low_semantic_derangement,12,64,87,0.4375
17,high_semantic_derangement,32,64,87,0.65625
17,random_derangement_0,15,64,87,0.59375
17,random_derangement_1,33,64,87,0.546875
17,random_derangement_2,19,64,87,0.5
17,random_derangement_3,5,64,87,0.53125
17,random_derangement_4,3,64,87,0.484375
17,random_derangement_5,59,64,87,0.53125
17,random_derangement_6,7,64,87,0.5625
17,random_derangement_7,44,64,87,0.453125
17,correct_pair,0,64,87,1.0
17,t005_original,1,64,87,0.515625
18,low_semantic_derangement,15,30,10,0.4
18,high_semantic_derangement,9,30,10,0.6666666666666666
18,random_derangement_0,28,30,10,0.5666666666666667
18,random_derangement_1,22,30,10,0.6333333333333333
18,random_derangement_2,10,30,10,0.6
18,random_derangement_3,27,30,10,0.5
18,random_derangement_4,11,30,10,0.5
18,random_derangement_5,5,30,10,0.4666666666666667
18,random_derangement_6,6,30,10,0.4666666666666667
18,random_derangement_7,18,30,10,0.5333333333333333
18,correct_pair,0,30,10,1.0
18,t005_original,5,30,10,0.4666666666666667
19,low_semantic_derangement,29,64,91,0.25
19,high_semantic_derangement,7,64,91,0.484375
19,random_derangement_0,27,64,91,0.359375
19,random_derangement_1,23,64,91,0.484375
19,random_derangement_2,26,64,91,0.328125
19,random_derangement_3,12,64,91,0.34375
19,random_derangement_4,50,64,91,0.421875
19,random_derangement_5,29,64,91,0.25
19,random_derangement_6,11,64,91,0.390625
19,random_derangement_7,5,64,91,0.421875
19,correct_pair,0,64,91,1.0
19,t005_original,48,64,91,0.359375
20,low_semantic_derangement,1,64,152,1.0
20,high_semantic_derangement,1,64,152,1.0
20,random_derangement_0,12,64,152,1.0
20,random_derangement_1,47,64,152,1.0
20,random_derangement_2,8,64,152,1.0
20,random_derangement_3,22,64,152,1.0
20,random_derangement_4,39,64,152,1.0
20,random_derangement_5,59,64,152,1.0
20,random_derangement_6,26,64,152,1.0
20,random_derangement_7,7,64,152,1.0
20,correct_pair,0,64,152,1.0
20,t005_original,44,64,152,1.0
21,low_semantic_derangement,1,64,242,1.0
21,high_semantic_derangement,1,64,242,1.0
21,random_derangement_0,43,64,242,1.0
21,random_derangement_1,15,64,242,1.0
21,random_derangement_2,45,64,242,1.0
21,random_derangement_3,17,64,242,1.0
21,random_derangement_4,33,64,242,1.0
21,random_derangement_5,11,64,242,1.0
21,random_derangement_6,30,64,242,1.0
21,random_derangement_7,39,64,242,1.0
21,correct_pair,0,64,242,1.0
21,t005_original,52,64,242,1.0
22,low_semantic_derangement,16,64,175,0.40625
22,high_semantic_derangement,12,64,175,0.625
22,random_derangement_0,24,64,175,0.5
22,random_derangement_1,2,64,175,0.46875
22,random_derangement_2,42,64,175,0.4375
22,random_derangement_3,31,64,175,0.625
22,random_derangement_4,29,64,175,0.5
22,random_derangement_5,59,64,175,0.46875
22,random_derangement_6,36,64,175,0.53125
22,random_derangement_7,7,64,175,0.5
22,correct_pair,0,64,175,1.0
22,t005_original,50,64,175,0.5
23,low_semantic_derangement,18,64,140,0.390625
23,high_semantic_derangement,13,64,140,0.59375
23,random_derangement_0,60,64,140,0.484375
23,random_derangement_1,49,64,140,0.5
23,random_derangement_2,56,64,140,0.546875
23,random_derangement_3,45,64,140,0.515625
23,random_derangement_4,38,64,140,0.40625
23,random_derangement_5,22,64,140,0.53125
23,random_derangement_6,8,64,140,0.546875
23,random_derangement_7,15,64,140,0.5
23,correct_pair,0,64,140,1.0
23,t005_original,27,64,140,0.515625
24,low_semantic_derangement,30,64,179,0.515625
24,high_semantic_derangement,11,64,179,0.65625
24,random_derangement_0,8,64,179,0.609375
24,random_derangement_1,38,64,179,0.5625
24,random_derangement_2,39,64,179,0.5625
24,random_derangement_3,61,64,179,0.59375
24,random_derangement_4,26,64,179,0.5625
24,random_derangement_5,23,64,179,0.578125
24,random_derangement_6,58,64,179,0.609375
24,random_derangement_7,18,64,179,0.625
24,correct_pair,0,64,179,1.0
24,t005_original,27,64,179,0.578125
25,low_semantic_derangement,3,64,36,0.1875
25,high_semantic_derangement,14,64,36,0.359375
25,random_derangement_0,60,64,36,0.265625
25,random_derangement_1,25,64,36,0.265625
25,random_derangement_2,15,64,36,0.265625
25,random_derangement_3,36,64,36,0.25
25,random_derangement_4,8,64,36,0.3125
25,random_derangement_5,35,64,36,0.25
25,random_derangement_6,44,64,36,0.265625
25,random_derangement_7,14,64,36,0.359375
25,correct_pair,0,64,36,1.0
25,t005_original,6,64,36,0.28125
26,low_semantic_derangement,1,64,284,0.84375
26,high_semantic_derangement,2,64,284,0.875
26,random_derangement_0,26,64,284,0.859375
26,random_derangement_1,45,64,284,0.84375
26,random_derangement_2,22,64,284,0.875
26,random_derangement_3,30,64,284,0.859375
26,random_derangement_4,1,64,284,0.84375
26,random_derangement_5,24,64,284,0.84375
26,random_derangement_6,59,64,284,0.84375
26,random_derangement_7,12,64,284,0.859375
26,correct_pair,0,64,284,1.0
26,t005_original,23,64,284,0.84375
27,low_semantic_derangement,1,64,195,1.0
27,high_semantic_derangement,1,64,195,1.0
27,random_derangement_0,62,64,195,1.0
27,random_derangement_1,57,64,195,1.0
27,random_derangement_2,28,64,195,1.0
27,random_derangement_3,44,64,195,1.0
27,random_derangement_4,13,64,195,1.0
27,random_derangement_5,59,64,195,1.0
27,random_derangement_6,49,64,195,1.0
27,random_derangement_7,9,64,195,1.0
27,correct_pair,0,64,195,1.0
27,t005_original,59,64,195,1.0
28,low_semantic_derangement,4,64,26,0.265625
28,high_semantic_derangement,6,64,26,0.421875
28,random_derangement_0,43,64,26,0.3125
28,random_derangement_1,29,64,26,0.296875
28,random_derangement_2,52,64,26,0.296875
28,random_derangement_3,62,64,26,0.359375
28,random_derangement_4,14,64,26,0.375
28,random_derangement_5,16,64,26,0.390625
28,random_derangement_6,46,64,26,0.3125
28,random_derangement_7,8,64,26,0.390625
28,correct_pair,0,64,26,1.0
28,t005_original,41,64,26,0.375
29,low_semantic_derangement,1,64,382,1.0
29,high_semantic_derangement,1,64,382,1.0
29,random_derangement_0,48,64,382,1.0
29,random_derangement_1,28,64,382,1.0
29,random_derangement_2,43,64,382,1.0
29,random_derangement_3,16,64,382,1.0
29,random_derangement_4,9,64,382,1.0
29,random_derangement_5,3,64,382,1.0
29,random_derangement_6,27,64,382,1.0
29,random_derangement_7,40,64,382,1.0
29,correct_pair,0,64,382,1.0
29,t005_original,49,64,382,1.0
30,low_semantic_derangement,10,64,275,0.375
30,high_semantic_derangement,23,64,275,0.625
30,random_derangement_0,3,64,275,0.46875
30,random_derangement_1,60,64,275,0.53125
30,random_derangement_2,21,64,275,0.5
30,random_derangement_3,50,64,275,0.5
30,random_derangement_4,43,64,275,0.5
30,random_derangement_5,10,64,275,0.375
30,random_derangement_6,57,64,275,0.59375
30,random_derangement_7,29,64,275,0.4375
30,correct_pair,0,64,275,1.0
30,t005_original,49,64,275,0.5
31,low_semantic_derangement,1,64,202,0.9375
31,high_semantic_derangement,17,64,202,0.953125
31,random_derangement_0,23,64,202,0.9375
31,random_derangement_1,61,64,202,0.9375
31,random_derangement_2,10,64,202,0.9375
31,random_derangement_3,52,64,202,0.9375
31,random_derangement_4,63,64,202,0.9375
31,random_derangement_5,39,64,202,0.9375
31,random_derangement_6,9,64,202,0.9375
31,random_derangement_7,47,64,202,0.953125
31,correct_pair,0,64,202,1.0
31,t005_original,27,64,202,0.9375
32,low_semantic_derangement,21,64,198,0.140625
32,high_semantic_derangement,3,64,198,0.359375
32,random_derangement_0,60,64,198,0.234375
32,random_derangement_1,15,64,198,0.25
32,random_derangement_2,63,64,198,0.234375
32,random_derangement_3,18,64,198,0.21875
32,random_derangement_4,11,64,198,0.34375
32,random_derangement_5,44,64,198,0.171875
32,random_derangement_6,28,64,198,0.234375
32,random_derangement_7,52,64,198,0.1875
32,correct_pair,0,64,198,1.0
32,t005_original,53,64,198,0.34375
33,low_semantic_derangement,26,64,264,0.34375
33,high_semantic_derangement,22,64,264,0.59375
33,random_derangement_0,8,64,264,0.53125
33,random_derangement_1,13,64,264,0.5625
33,random_derangement_2,57,64,264,0.5
33,random_derangement_3,48,64,264,0.4375
33,random_derangement_4,17,64,264,0.46875
33,random_derangement_5,16,64,264,0.4375
33,random_derangement_6,45,64,264,0.5625
33,random_derangement_7,11,64,264,0.5
33,correct_pair,0,64,264,1.0
33,t005_original,43,64,264,0.5625
34,low_semantic_derangement,13,64,102,0.390625
34,high_semantic_derangement,2,64,102,0.53125
34,random_derangement_0,55,64,102,0.484375
34,random_derangement_1,56,64,102,0.53125
34,random_derangement_2,3,64,102,0.4375
34,random_derangement_3,52,64,102,0.40625
34,random_derangement_4,24,64,102,0.484375
34,random_derangement_5,39,64,102,0.515625
34,random_derangement_6,17,64,102,0.5
34,random_derangement_7,11,64,102,0.40625
34,correct_pair,0,64,102,1.0
34,t005_original,43,64,102,0.40625
35,low_semantic_derangement,10,64,175,0.5
35,high_semantic_derangement,12,64,175,0.671875
35,random_derangement_0,51,64,175,0.59375
35,random_derangement_1,12,64,175,0.671875
35,random_derangement_2,11,64,175,0.53125
35,random_derangement_3,2,64,175,0.5625
35,random_derangement_4,14,64,175,0.5625
35,random_derangement_5,53,64,175,0.53125
35,random_derangement_6,37,64,175,0.609375
35,random_derangement_7,47,64,175,0.59375
35,correct_pair,0,64,175,1.0
35,t005_original,57,64,175,0.609375
36,low_semantic_derangement,9,54,18,0.24074074074074073
36,high_semantic_derangement,12,54,18,0.5
36,random_derangement_0,17,54,18,0.3888888888888889
36,random_derangement_1,29,54,18,0.35185185185185186
36,random_derangement_2,24,54,18,0.46296296296296297
36,random_derangement_3,41,54,18,0.37037037037037035
36,random_derangement_4,10,54,18,0.3333333333333333
36,random_derangement_5,8,54,18,0.3333333333333333
36,random_derangement_6,14,54,18,0.3333333333333333
36,random_derangement_7,30,54,18,0.46296296296296297
36,correct_pair,0,54,18,1.0
36,t005_original,17,54,18,0.3888888888888889
37,low_semantic_derangement,9,64,80,0.3125
37,high_semantic_derangement,5,64,80,0.53125
37,random_derangement_0,14,64,80,0.359375
37,random_derangement_1,27,64,80,0.53125
37,random_derangement_2,36,64,80,0.375
37,random_derangement_3,48,64,80,0.359375
37,random_derangement_4,30,64,80,0.4375
37,random_derangement_5,31,64,80,0.375
37,random_derangement_6,57,64,80,0.453125
37,random_derangement_7,60,64,80,0.328125
37,correct_pair,0,64,80,1.0
37,t005_original,20,64,80,0.46875
38,low_semantic_derangement,1,64,25,0.90625
38,high_semantic_derangement,21,64,25,0.9375
38,random_derangement_0,7,64,25,0.90625
38,random_derangement_1,43,64,25,0.9375
38,random_derangement_2,19,64,25,0.90625
38,random_derangement_3,17,64,25,0.90625
38,random_derangement_4,53,64,25,0.90625
38,random_derangement_5,49,64,25,0.90625
38,random_derangement_6,50,64,25,0.90625
38,random_derangement_7,20,64,25,0.90625
38,correct_pair,0,64,25,1.0
38,t005_original,57,64,25,0.90625
39,low_semantic_derangement,1,64,160,1.0
39,high_semantic_derangement,1,64,160,1.0
39,random_derangement_0,23,64,160,1.0
39,random_derangement_1,28,64,160,1.0
39,random_derangement_2,60,64,160,1.0
39,random_derangement_3,31,64,160,1.0
39,random_derangement_4,14,64,160,1.0
39,random_derangement_5,61,64,160,1.0
39,random_derangement_6,26,64,160,1.0
39,random_derangement_7,51,64,160,1.0
39,correct_pair,0,64,160,1.0
39,t005_original,59,64,160,1.0
40,low_semantic_derangement,1,64,250,0.9375
40,high_semantic_derangement,5,64,250,0.953125
40,random_derangement_0,19,64,250,0.9375
40,random_derangement_1,12,64,250,0.9375
40,random_derangement_2,4,64,250,0.9375
40,random_derangement_3,25,64,250,0.9375
40,random_derangement_4,38,64,250,0.9375
40,random_derangement_5,9,64,250,0.9375
40,random_derangement_6,13,64,250,0.9375
40,random_derangement_7,6,64,250,0.9375
40,correct_pair,0,64,250,1.0
40,t005_original,33,64,250,0.9375
41,low_semantic_derangement,7,64,100,0.59375
41,high_semantic_derangement,14,64,100,0.734375
41,random_derangement_0,27,64,100,0.671875
41,random_derangement_1,62,64,100,0.609375
41,random_derangement_2,33,64,100,0.65625
41,random_derangement_3,13,64,100,0.671875
41,random_derangement_4,63,64,100,0.625
41,random_derangement_5,43,64,100,0.609375
41,random_derangement_6,46,64,100,0.65625
41,random_derangement_7,19,64,100,0.640625
41,correct_pair,0,64,100,1.0
41,t005_original,55,64,100,0.640625
42,low_semantic_derangement,11,64,320,0.34375
42,high_semantic_derangement,6,64,320,0.546875
42,random_derangement_0,20,64,320,0.4375
42,random_derangement_1,37,64,320,0.390625
42,random_derangement_2,28,64,320,0.4375
42,random_derangement_3,26,64,320,0.453125
42,random_derangement_4,39,64,320,0.40625
42,random_derangement_5,17,64,320,0.4375
42,random_derangement_6,53,64,320,0.34375
42,random_derangement_7,21,64,320,0.375
42,correct_pair,0,64,320,1.0
42,t005_original,34,64,320,0.4375
43,low_semantic_derangement,4,64,198,0.40625
43,high_semantic_derangement,10,64,198,0.65625
43,random_derangement_0,14,64,198,0.4375
43,random_derangement_1,34,64,198,0.53125
43,random_derangement_2,51,64,198,0.46875
43,random_derangement_3,35,64,198,0.40625
43,random_derangement_4,58,64,198,0.46875
43,random_derangement_5,25,64,198,0.46875
43,random_derangement_6,57,64,198,0.53125
43,random_derangement_7,5,64,198,0.5
43,correct_pair,0,64,198,1.0
43,t005_original,30,64,198,0.53125
44,low_semantic_derangement,5,64,74,0.4375
44,high_semantic_derangement,20,64,74,0.625
44,random_derangement_0,28,64,74,0.46875
44,random_derangement_1,41,64,74,0.5
44,random_derangement_2,58,64,74,0.609375
44,random_derangement_3,47,64,74,0.46875
44,random_derangement_4,54,64,74,0.453125
44,random_derangement_5,15,64,74,0.4375
44,random_derangement_6,5,64,74,0.4375
44,random_derangement_7,26,64,74,0.625
44,correct_pair,0,64,74,1.0
44,t005_original,23,64,74,0.5
45,low_semantic_derangement,6,38,13,0.47368421052631576
45,high_semantic_derangement,15,38,13,0.6578947368421053
45,random_derangement_0,20,38,13,0.5263157894736842
45,random_derangement_1,17,38,13,0.5
45,random_derangement_2,33,38,13,0.5263157894736842
45,random_derangement_3,1,38,13,0.6052631578947368
45,random_derangement_4,29,38,13,0.5
45,random_derangement_5,4,38,13,0.5789473684210527
45,random_derangement_6,3,38,13,0.631578947368421
45,random_derangement_7,26,38,13,0.5789473684210527
45,correct_pair,0,38,13,1.0
45,t005_original,24,38,13,0.5789473684210527
46,low_semantic_derangement,2,64,79,0.6875
46,high_semantic_derangement,3,64,79,0.84375
46,random_derangement_0,15,64,79,0.734375
46,random_derangement_1,19,64,79,0.71875
46,random_derangement_2,2,64,79,0.6875
46,random_derangement_3,35,64,79,0.6875
46,random_derangement_4,38,64,79,0.703125
46,random_derangement_5,54,64,79,0.75
46,random_derangement_6,23,64,79,0.703125
46,random_derangement_7,28,64,79,0.6875
46,correct_pair,0,64,79,1.0
46,t005_original,62,64,79,0.6875
47,low_semantic_derangement,27,64,32,0.28125
47,high_semantic_derangement,32,64,32,0.53125
47,random_derangement_0,35,64,32,0.421875
47,random_derangement_1,44,64,32,0.3125
47,random_derangement_2,47,64,32,0.484375
47,random_derangement_3,14,64,32,0.390625
47,random_derangement_4,18,64,32,0.40625
47,random_derangement_5,23,64,32,0.4375
47,random_derangement_6,29,64,32,0.421875
47,random_derangement_7,15,64,32,0.40625
47,correct_pair,0,64,32,1.0
47,t005_original,10,64,32,0.34375
48,low_semantic_derangement,23,64,161,0.359375
48,high_semantic_derangement,3,64,161,0.5625
48,random_derangement_0,12,64,161,0.46875
48,random_derangement_1,7,64,161,0.421875
48,random_derangement_2,9,64,161,0.40625
48,random_derangement_3,22,64,161,0.53125
48,random_derangement_4,14,64,161,0.453125
48,random_derangement_5,47,64,161,0.421875
48,random_derangement_6,51,64,161,0.40625
48,random_derangement_7,46,64,161,0.421875
48,correct_pair,0,64,161,1.0
48,t005_original,12,64,161,0.46875
49,low_semantic_derangement,2,64,202,0.78125
49,high_semantic_derangement,7,64,202,0.84375
49,random_derangement_0,56,64,202,0.78125
49,random_derangement_1,38,64,202,0.8125
49,random_derangement_2,58,64,202,0.8125
49,random_derangement_3,12,64,202,0.78125
49,random_derangement_4,7,64,202,0.84375
49,random_derangement_5,34,64,202,0.8125
49,random_derangement_6,55,64,202,0.8125
49,random_derangement_7,25,64,202,0.8125
49,correct_pair,0,64,202,1.0
49,t005_original,52,64,202,0.78125
50,low_semantic_derangement,9,64,121,0.5
50,high_semantic_derangement,32,64,121,0.65625
50,random_derangement_0,7,64,121,0.546875
50,random_derangement_1,53,64,121,0.53125
50,random_derangement_2,37,64,121,0.5
50,random_derangement_3,24,64,121,0.53125
50,random_derangement_4,27,64,121,0.5
50,random_derangement_5,2,64,121,0.546875
50,random_derangement_6,38,64,121,0.546875
50,random_derangement_7,13,64,121,0.578125
50,correct_pair,0,64,121,1.0
50,t005_original,38,64,121,0.546875
51,low_semantic_derangement,1,36,12,0.8333333333333334
51,high_semantic_derangement,13,36,12,0.8888888888888888
51,random_derangement_0,29,36,12,0.8333333333333334
51,random_derangement_1,35,36,12,0.8333333333333334
51,random_derangement_2,14,36,12,0.8333333333333334
51,random_derangement_3,6,36,12,0.8333333333333334
51,random_derangement_4,31,36,12,0.8333333333333334
51,random_derangement_5,24,36,12,0.8333333333333334
51,random_derangement_6,22,36,12,0.8333333333333334
51,random_derangement_7,5,36,12,0.8333333333333334
51,correct_pair,0,36,12,1.0
51,t005_original,19,36,12,0.8333333333333334
52,low_semantic_derangement,12,64,24,0.625
52,high_semantic_derangement,32,64,24,0.71875
52,random_derangement_0,50,64,24,0.640625
52,random_derangement_1,4,64,24,0.703125
52,random_derangement_2,40,64,24,0.65625
52,random_derangement_3,27,64,24,0.65625
52,random_derangement_4,34,64,24,0.6875
52,random_derangement_5,48,64,24,0.671875
52,random_derangement_6,17,64,24,0.703125
52,random_derangement_7,18,64,24,0.703125
52,correct_pair,0,64,24,1.0
52,t005_original,32,64,24,0.71875
53,low_semantic_derangement,22,64,121,0.625
53,high_semantic_derangement,6,64,121,0.734375
53,random_derangement_0,63,64,121,0.703125
53,random_derangement_1,52,64,121,0.703125
53,random_derangement_2,59,64,121,0.6875
53,random_derangement_3,41,64,121,0.640625
53,random_derangement_4,55,64,121,0.6875
53,random_derangement_5,20,64,121,0.6875
53,random_derangement_6,4,64,121,0.703125
53,random_derangement_7,47,64,121,0.65625
53,correct_pair,0,64,121,1.0
53,t005_original,30,64,121,0.6875
54,low_semantic_derangement,15,64,237,0.453125
54,high_semantic_derangement,20,64,237,0.625
54,random_derangement_0,31,64,237,0.5
54,random_derangement_1,33,64,237,0.5
54,random_derangement_2,45,64,237,0.546875
54,random_derangement_3,59,64,237,0.53125
54,random_derangement_4,57,64,237,0.484375
54,random_derangement_5,38,64,237,0.625
54,random_derangement_6,56,64,237,0.5625
54,random_derangement_7,30,64,237,0.546875
54,correct_pair,0,64,237,1.0
54,t005_original,60,64,237,0.609375
55,low_semantic_derangement,1,64,210,0.8125
55,high_semantic_derangement,29,64,210,0.875
55,random_derangement_0,44,64,210,0.84375
55,random_derangement_1,26,64,210,0.84375
55,random_derangement_2,37,64,210,0.84375
55,random_derangement_3,49,64,210,0.8125
55,random_derangement_4,40,64,210,0.8125
55,random_derangement_5,41,64,210,0.84375
