client,bank,true_context,source_context
6,B,clean,clean
6,A,brightness_dark,brightness_dark
6,B,brightness_dark,brightness_dark
6,A,contrast_low,contrast_low
6,B,contrast_low,contrast_low
6,A,gaussian_noise,gaussian_noise
6,B,gaussian_noise,gaussian_noise
6,A,gaussian_blur,gaussian_blur
6,B,gaussian_blur,gaussian_blur
7,A,clean,clean
7,B,clean,clean
7,A,brightness_dark,brightness_dark
7,B,brightness_dark,brightness_dark
7,A,contrast_low,contrast_low
7,B,contrast_low,contrast_low
7,A,gaussian_noise,gaussian_noise
7,B,gaussian_noise,gaussian_noise
7,A,gaussian_blur,gaussian_blur
7,B,gaussian_blur,gaussian_blur
8,A,clean,clean
8,B,clean,clean
8,A,brightness_dark,brightness_dark
8,B,brightness_dark,brightness_dark
8,A,contrast_low,contrast_low
8,B,contrast_low,contrast_low
8,A,gaussian_noise,gaussian_noise
8,B,gaussian_noise,gaussian_noise
8,A,gaussian_blur,gaussian_blur
8,B,gaussian_blur,gaussian_blur
9,A,clean,clean
9,B,clean,clean
9,A,brightness_dark,brightness_dark
9,B,brightness_dark,brightness_dark
9,A,contrast_low,contrast_low
9,B,contrast_low,contrast_low
9,A,gaussian_noise,gaussian_noise
9,B,gaussian_noise,gaussian_noise
9,A,gaussian_blur,gaussian_blur
9,B,gaussian_blur,gaussian_blur
10,A,clean,clean
10,B,clean,clean
10,A,brightness_dark,brightness_dark
10,B,brightness_dark,brightness_dark
10,A,contrast_low,contrast_low
10,B,contrast_low,contrast_low
10,A,gaussian_noise,gaussian_noise
10,B,gaussian_noise,gaussian_noise
10,A,gaussian_blur,gaussian_blur
10,B,gaussian_blur,gaussian_blur
11,A,clean,clean
11,B,clean,clean
11,A,brightness_dark,brightness_dark
11,B,brightness_dark,brightness_dark
11,A,contrast_low,contrast_low
11,B,contrast_low,contrast_low
11,A,gaussian_noise,gaussian_noise
11,B,gaussian_noise,gaussian_noise
11,A,gaussian_blur,gaussian_blur
11,B,gaussian_blur,gaussian_blur
12,A,clean,clean
12,B,clean,clean
12,A,brightness_dark,brightness_dark
12,B,brightness_dark,brightness_dark
12,A,contrast_low,contrast_low
12,B,contrast_low,contrast_low
12,A,gaussian_noise,gaussian_noise
12,B,gaussian_noise,gaussian_noise
12,A,gaussian_blur,gaussian_blur
12,B,gaussian_blur,gaussian_blur
13,A,clean,clean
13,B,clean,clean
13,A,brightness_dark,brightness_dark
13,B,brightness_dark,brightness_dark
13,A,contrast_low,contrast_low
13,B,contrast_low,contrast_low
13,A,gaussian_noise,gaussian_noise
13,B,gaussian_noise,gaussian_noise
13,A,gaussian_blur,gaussian_blur
13,B,gaussian_blur,gaussian_blur
14,A,clean,clean
14,B,clean,clean
14,A,brightness_dark,brightness_dark
14,B,brightness_dark,brightness_dark
14,A,contrast_low,contrast_low
14,B,contrast_low,contrast_low
14,A,gaussian_noise,gaussian_noise
14,B,gaussian_noise,gaussian_noise
14,A,gaussian_blur,gaussian_blur
14,B,gaussian_blur,gaussian_blur
15,A,clean,gaussian_blur
15,B,clean,gaussian_blur
15,A,brightness_dark,brightness_dark
15,B,brightness_dark,brightness_dark
15,A,contrast_low,contrast_low
15,B,contrast_low,contrast_low
15,A,gaussian_noise,gaussian_noise
15,B,gaussian_noise,gaussian_noise
15,A,gaussian_blur,contrast_low
15,B,gaussian_blur,contrast_low
16,A,clean,clean
16,B,clean,clean
16,A,brightness_dark,brightness_dark
16,B,brightness_dark,brightness_dark
16,A,contrast_low,contrast_low
16,B,contrast_low,contrast_low
16,A,gaussian_noise,gaussian_noise
16,B,gaussian_noise,gaussian_noise
16,A,gaussian_blur,gaussian_blur
16,B,gaussian_blur,gaussian_blur
17,A,clean,clean
17,B,clean,clean
17,A,brightness_dark,brightness_dark
17,B,brightness_dark,brightness_dark
17,A,contrast_low,contrast_low
17,B,contrast_low,contrast_low
17,A,gaussian_noise,gaussian_noise
17,B,gaussian_noise,gaussian_noise
17,A,gaussian_blur,gaussian_blur
17,B,gaussian_blur,gaussian_blur
18,A,clean,clean
18,B,clean,clean
18,A,brightness_dark,brightness_dark
18,B,brightness_dark,brightness_dark
18,A,contrast_low,contrast_low
18,B,contrast_low,contrast_low
18,A,gaussian_noise,gaussian_noise
18,B,gaussian_noise,gaussian_noise
18,A,gaussian_blur,gaussian_blur
18,B,gaussian_blur,gaussian_blur
19,A,clean,clean
19,B,clean,clean
19,A,brightness_dark,brightness_dark
19,B,brightness_dark,brightness_dark
19,A,contrast_low,contrast_low
19,B,contrast_low,contrast_low
19,A,gaussian_noise,gaussian_noise
19,B,gaussian_noise,gaussian_noise
19,A,gaussian_blur,gaussian_blur
19,B,gaussian_blur,gaussian_blur
20,A,clean,clean
20,B,clean,clean
20,A,brightness_dark,brightness_dark
20,B,brightness_dark,brightness_dark
20,A,contrast_low,contrast_low
20,B,contrast_low,contrast_low
20,A,gaussian_noise,gaussian_noise
20,B,gaussian_noise,gaussian_noise
20,A,gaussian_blur,gaussian_blur
20,B,gaussian_blur,gaussian_blur
21,A,clean,gaussian_blur
21,B,clean,clean
21,A,brightness_dark,brightness_dark
21,B,brightness_dark,brightness_dark
21,A,contrast_low,contrast_low
21,B,contrast_low,contrast_low
21,A,gaussian_noise,gaussian_noise
21,B,gaussian_noise,gaussian_noise
21,A,gaussian_blur,gaussian_blur
21,B,gaussian_blur,gaussian_blur
22,A,clean,clean
22,B,clean,clean
22,A,brightness_dark,brightness_dark
22,B,brightness_dark,brightness_dark
22,A,contrast_low,contrast_low
22,B,contrast_low,contrast_low
22,A,gaussian_noise,gaussian_noise
22,B,gaussian_noise,gaussian_noise
22,A,gaussian_blur,gaussian_blur
22,B,gaussian_blur,gaussian_blur
23,A,clean,clean
23,B,clean,clean
23,A,brightness_dark,brightness_dark
23,B,brightness_dark,brightness_dark
23,A,contrast_low,contrast_low
23,B,contrast_low,contrast_low
23,A,gaussian_noise,gaussian_noise
23,B,gaussian_noise,gaussian_noise
23,A,gaussian_blur,gaussian_blur
23,B,gaussian_blur,gaussian_blur
24,A,clean,clean
24,B,clean,clean
24,A,brightness_dark,brightness_dark
24,B,brightness_dark,brightness_dark
24,A,contrast_low,contrast_low
24,B,contrast_low,contrast_low
24,A,gaussian_noise,gaussian_noise
24,B,gaussian_noise,gaussian_noise
24,A,gaussian_blur,gaussian_blur
24,B,gaussian_blur,gaussian_blur
25,A,clean,clean
25,B,clean,clean
25,A,brightness_dark,brightness_dark
25,B,brightness_dark,brightness_dark
25,A,contrast_low,contrast_low
25,B,contrast_low,contrast_low
25,A,gaussian_noise,gaussian_noise
25,B,gaussian_noise,gaussian_noise
25,A,gaussian_blur,gaussian_blur
25,B,gaussian_blur,gaussian_blur
26,A,clean,gaussian_blur
26,B,clean,gaussian_blur
26,A,brightness_dark,brightness_dark
26,B,brightness_dark,brightness_dark
26,A,contrast_low,contrast_low
26,B,contrast_low,contrast_low
26,A,gaussian_noise,gaussian_noise
26,B,gaussian_noise,gaussian_noise
26,A,gaussian_blur,contrast_low
26,B,gaussian_blur,gaussian_blur
27,A,clean,clean
27,B,clean,clean
27,A,brightness_dark,brightness_dark
27,B,brightness_dark,brightness_dark
27,A,contrast_low,contrast_low
27,B,contrast_low,contrast_low
27,A,gaussian_noise,gaussian_noise
27,B,gaussian_noise,gaussian_noise
27,A,gaussian_blur,gaussian_blur
27,B,gaussian_blur,gaussian_blur
28,A,clean,clean
28,B,clean,clean
28,A,brightness_dark,brightness_dark
28,B,brightness_dark,brightness_dark
28,A,contrast_low,contrast_low
28,B,contrast_low,contrast_low
28,A,gaussian_noise,gaussian_noise
28,B,gaussian_noise,gaussian_noise
28,A,gaussian_blur,gaussian_blur
28,B,gaussian_blur,gaussian_blur
29,A,clean,gaussian_noise
29,B,clean,gaussian_noise
29,A,brightness_dark,brightness_dark
29,B,brightness_dark,brightness_dark
29,A,contrast_low,contrast_low
29,B,contrast_low,contrast_low
29,A,gaussian_noise,gaussian_noise
29,B,gaussian_noise,gaussian_noise
29,A,gaussian_blur,clean
29,B,gaussian_blur,clean
30,A,clean,gaussian_blur
30,B,clean,gaussian_blur
30,A,brightness_dark,brightness_dark
30,B,brightness_dark,brightness_dark
30,A,contrast_low,contrast_low
30,B,contrast_low,contrast_low
30,A,gaussian_noise,gaussian_noise
30,B,gaussian_noise,gaussian_noise
30,A,gaussian_blur,gaussian_blur
30,B,gaussian_blur,gaussian_blur
31,A,clean,clean
31,B,clean,clean
31,A,brightness_dark,brightness_dark
31,B,brightness_dark,brightness_dark
31,A,contrast_low,contrast_low
31,B,contrast_low,contrast_low
31,A,gaussian_noise,gaussian_noise
31,B,gaussian_noise,gaussian_noise
31,A,gaussian_blur,gaussian_blur
31,B,gaussian_blur,gaussian_blur
32,A,clean,clean
32,B,clean,clean
32,A,brightness_dark,brightness_dark
32,B,brightness_dark,brightness_dark
32,A,contrast_low,contrast_low
32,B,contrast_low,contrast_low
32,A,gaussian_noise,gaussian_noise
32,B,gaussian_noise,gaussian_noise
32,A,gaussian_blur,gaussian_blur
32,B,gaussian_blur,gaussian_blur
33,A,clean,clean
33,B,clean,clean
33,A,brightness_dark,brightness_dark
33,B,brightness_dark,brightness_dark
33,A,contrast_low,contrast_low
33,B,contrast_low,contrast_low
33,A,gaussian_noise,gaussian_noise
33,B,gaussian_noise,gaussian_noise
33,A,gaussian_blur,gaussian_blur
33,B,gaussian_blur,gaussian_blur
34,A,clean,clean
34,B,clean,clean
34,A,brightness_dark,brightness_dark
34,B,brightness_dark,brightness_dark
34,A,contrast_low,contrast_low
34,B,contrast_low,contrast_low
34,A,gaussian_noise,gaussian_noise
34,B,gaussian_noise,gaussian_noise
34,A,gaussian_blur,gaussian_blur
34,B,gaussian_blur,gaussian_blur
35,A,clean,clean
35,B,clean,clean
35,A,brightness_dark,brightness_dark
35,B,brightness_dark,brightness_dark
35,A,contrast_low,contrast_low
35,B,contrast_low,contrast_low
35,A,gaussian_noise,gaussian_noise
35,B,gaussian_noise,gaussian_noise
35,A,gaussian_blur,gaussian_blur
35,B,gaussian_blur,gaussian_blur
36,A,clean,clean
36,B,clean,clean
36,A,brightness_dark,brightness_dark
36,B,brightness_dark,brightness_dark
36,A,contrast_low,contrast_low
36,B,contrast_low,contrast_low
36,A,gaussian_noise,gaussian_noise
36,B,gaussian_noise,gaussian_noise
36,A,gaussian_blur,gaussian_blur
36,B,gaussian_blur,gaussian_blur
37,A,clean,clean
37,B,clean,clean
37,A,brightness_dark,brightness_dark
37,B,brightness_dark,brightness_dark
37,A,contrast_low,contrast_low
37,B,contrast_low,contrast_low
37,A,gaussian_noise,gaussian_noise
37,B,gaussian_noise,gaussian_noise
37,A,gaussian_blur,gaussian_blur
37,B,gaussian_blur,gaussian_blur
38,A,clean,clean
38,B,clean,clean
38,A,brightness_dark,brightness_dark
38,B,brightness_dark,brightness_dark
38,A,contrast_low,contrast_low
38,B,contrast_low,contrast_low
38,A,gaussian_noise,gaussian_noise
38,B,gaussian_noise,gaussian_noise
38,A,gaussian_blur,gaussian_blur
38,B,gaussian_blur,gaussian_blur
39,A,clean,clean
39,B,clean,clean
39,A,brightness_dark,brightness_dark
39,B,brightness_dark,brightness_dark
39,A,contrast_low,contrast_low
39,B,contrast_low,contrast_low
39,A,gaussian_noise,gaussian_noise
39,B,gaussian_noise,gaussian_noise
39,A,gaussian_blur,gaussian_blur
39,B,gaussian_blur,gaussian_blur
40,A,clean,clean
40,B,clean,clean
40,A,brightness_dark,brightness_dark
40,B,brightness_dark,brightness_dark
40,A,contrast_low,contrast_low
40,B,contrast_low,contrast_low
40,A,gaussian_noise,gaussian_noise
40,B,gaussian_noise,gaussian_noise
40,A,gaussian_blur,gaussian_blur
40,B,gaussian_blur,gaussian_blur
41,A,clean,clean
41,B,clean,clean
41,A,brightness_dark,brightness_dark
41,B,brightness_dark,brightness_dark
41,A,contrast_low,contrast_low
41,B,contrast_low,contrast_low
41,A,gaussian_noise,gaussian_noise
41,B,gaussian_noise,gaussian_noise
41,A,gaussian_blur,gaussian_blur
41,B,gaussian_blur,gaussian_blur
42,A,clean,clean
42,B,clean,clean
42,A,brightness_dark,brightness_dark
42,B,brightness_dark,brightness_dark
42,A,contrast_low,contrast_low
42,B,contrast_low,contrast_low
42,A,gaussian_noise,gaussian_noise
42,B,gaussian_noise,gaussian_noise
42,A,gaussian_blur,gaussian_blur
42,B,gaussian_blur,gaussian_blur
43,A,clean,clean
43,B,clean,clean
43,A,brightness_dark,brightness_dark
43,B,brightness_dark,brightness_dark
43,A,contrast_low,contrast_low
43,B,contrast_low,contrast_low
43,A,gaussian_noise,gaussian_noise
43,B,gaussian_noise,gaussian_noise
43,A,gaussian_blur,gaussian_blur
43,B,gaussian_blur,gaussian_blur
44,A,clean,clean
44,B,clean,clean
44,A,brightness_dark,brightness_dark
44,B,brightness_dark,brightness_dark
44,A,contrast_low,contrast_low
44,B,contrast_low,contrast_low
44,A,gaussian_noise,gaussian_noise
44,B,gaussian_noise,gaussian_noise
44,A,gaussian_blur,gaussian_blur
44,B,gaussian_blur,gaussian_blur
45,A,clean,gaussian_blur
45,B,clean,gaussian_blur
45,A,brightness_dark,brightness_dark
45,B,brightness_dark,brightness_dark
45,A,contrast_low,contrast_low
45,B,contrast_low,contrast_low
45,A,gaussian_noise,gaussian_noise
45,B,gaussian_noise,gaussian_noise
45,A,gaussian_blur,gaussian_blur
45,B,gaussian_blur,gaussian_blur
46,A,clean,clean
46,B,clean,clean
46,A,brightness_dark,brightness_dark
46,B,brightness_dark,brightness_dark
46,A,contrast_low,contrast_low
46,B,contrast_low,contrast_low
46,A,gaussian_noise,gaussian_noise
46,B,gaussian_noise,gaussian_noise
46,A,gaussian_blur,gaussian_blur
46,B,gaussian_blur,gaussian_blur
47,A,clean,clean
47,B,clean,clean
47,A,brightness_dark,brightness_dark
47,B,brightness_dark,brightness_dark
47,A,contrast_low,contrast_low
47,B,contrast_low,contrast_low
47,A,gaussian_noise,gaussian_noise
47,B,gaussian_noise,gaussian_noise
47,A,gaussian_blur,gaussian_blur
47,B,gaussian_blur,gaussian_blur
48,A,clean,clean
48,B,clean,clean
48,A,brightness_dark,brightness_dark
48,B,brightness_dark,brightness_dark
48,A,contrast_low,contrast_low
48,B,contrast_low,contrast_low
48,A,gaussian_noise,gaussian_noise
48,B,gaussian_noise,gaussian_noise
48,A,gaussian_blur,gaussian_blur
48,B,gaussian_blur,gaussian_blur
49,A,clean,clean
49,B,clean,clean
49,A,brightness_dark,brightness_dark
49,B,brightness_dark,brightness_dark
49,A,contrast_low,contrast_low
49,B,contrast_low,contrast_low
49,A,gaussian_noise,gaussian_noise
49,B,gaussian_noise,gaussian_noise
49,A,gaussian_blur,gaussian_blur
49,B,gaussian_blur,gaussian_blur
50,A,clean,clean
50,B,clean,clean
50,A,brightness_dark,brightness_dark
50,B,brightness_dark,brightness_dark
50,A,contrast_low,contrast_low
50,B,contrast_low,contrast_low
50,A,gaussian_noise,gaussian_noise
50,B,gaussian_noise,gaussian_noise
50,A,gaussian_blur,gaussian_blur
50,B,gaussian_blur,gaussian_blur
51,A,clean,clean
51,B,clean,clean
51,A,brightness_dark,brightness_dark
51,B,brightness_dark,brightness_dark
51,A,contrast_low,contrast_low
51,B,contrast_low,contrast_low
51,A,gaussian_noise,gaussian_noise
51,B,gaussian_noise,gaussian_noise
51,A,gaussian_blur,gaussian_blur
51,B,gaussian_blur,gaussian_blur
52,A,clean,gaussian_blur
52,B,clean,gaussian_blur
52,A,brightness_dark,brightness_dark
52,B,brightness_dark,brightness_dark
52,A,contrast_low,contrast_low
52,B,contrast_low,contrast_low
52,A,gaussian_noise,gaussian_noise
52,B,gaussian_noise,gaussian_noise
52,A,gaussian_blur,gaussian_blur
52,B,gaussian_blur,gaussian_blur
53,A,clean,clean
53,B,clean,clean
53,A,brightness_dark,brightness_dark
53,B,brightness_dark,brightness_dark
53,A,contrast_low,contrast_low
53,B,contrast_low,contrast_low
53,A,gaussian_noise,gaussian_noise
53,B,gaussian_noise,gaussian_noise
53,A,gaussian_blur,gaussian_blur
53,B,gaussian_blur,gaussian_blur
54,A,clean,clean
54,B,clean,clean
54,A,brightness_dark,brightness_dark
54,B,brightness_dark,brightness_dark
54,A,contrast_low,contrast_low
54,B,contrast_low,contrast_low
54,A,gaussian_noise,gaussian_noise
54,B,gaussian_noise,gaussian_noise
54,A,gaussian_blur,gaussian_blur
54,B,gaussian_blur,gaussian_blur
55,A,clean,clean
55,B,clean,clean
55,A,brightness_dark,brightness_dark
55,B,brightness_dark,brightness_dark
55,A,contrast_low,contrast_low
55,B,contrast_low,contrast_low
55,A,gaussian_noise,gaussian_noise
55,B,gaussian_noise,gaussian_noise
55,A,gaussian_blur,gaussian_blur
55,B,gaussian_blur,gaussian_blur
56,A,clean,clean
56,B,clean,clean
56,A,brightness_dark,brightness_dark
56,B,brightness_dark,brightness_dark
56,A,contrast_low,contrast_low
56,B,contrast_low,contrast_low
56,A,gaussian_noise,gaussian_noise
56,B,gaussian_noise,gaussian_noise
56,A,gaussian_blur,gaussian_blur
56,B,gaussian_blur,gaussian_blur
57,A,clean,clean
57,B,clean,clean
57,A,brightness_dark,brightness_dark
57,B,brightness_dark,brightness_dark
57,A,contrast_low,contrast_low
57,B,contrast_low,contrast_low
57,A,gaussian_noise,gaussian_noise
57,B,gaussian_noise,gaussian_noise
57,A,gaussian_blur,gaussian_blur
57,B,gaussian_blur,gaussian_blur
58,A,clean,clean
58,B,clean,clean
58,A,brightness_dark,brightness_dark
58,B,brightness_dark,brightness_dark
58,A,contrast_low,contrast_low
58,B,contrast_low,contrast_low
58,A,gaussian_noise,gaussian_noise
58,B,gaussian_noise,gaussian_noise
58,A,gaussian_blur,gaussian_blur
58,B,gaussian_blur,gaussian_blur
59,A,clean,clean
59,B,clean,clean
59,A,brightness_dark,brightness_dark
59,B,brightness_dark,brightness_dark
59,A,contrast_low,contrast_low
59,B,contrast_low,contrast_low
59,A,gaussian_noise,gaussian_noise
59,B,gaussian_noise,gaussian_noise
59,A,gaussian_blur,gaussian_blur
59,B,gaussian_blur,gaussian_blur
60,A,clean,clean
60,B,clean,clean
60,A,brightness_dark,brightness_dark
60,B,brightness_dark,brightness_dark
60,A,contrast_low,contrast_low
60,B,contrast_low,contrast_low
60,A,gaussian_noise,gaussian_noise
60,B,gaussian_noise,gaussian_noise
60,A,gaussian_blur,gaussian_blur
60,B,gaussian_blur,gaussian_blur
61,A,clean,clean
61,B,clean,clean
61,A,brightness_dark,brightness_dark
61,B,brightness_dark,brightness_dark
61,A,contrast_low,contrast_low
61,B,contrast_low,contrast_low
61,A,gaussian_noise,gaussian_noise
61,B,gaussian_noise,gaussian_noise
61,A,gaussian_blur,gaussian_blur
61,B,gaussian_blur,gaussian_blur
62,A,clean,clean
62,B,clean,clean
62,A,brightness_dark,brightness_dark
62,B,brightness_dark,brightness_dark
62,A,contrast_low,contrast_low
62,B,contrast_low,contrast_low
62,A,gaussian_noise,gaussian_noise
62,B,gaussian_noise,gaussian_noise
62,A,gaussian_blur,gaussian_blur
62,B,gaussian_blur,gaussian_blur
63,A,clean,clean
63,B,clean,clean
63,A,brightness_dark,brightness_dark
63,B,brightness_dark,brightness_dark
63,A,contrast_low,contrast_low
63,B,contrast_low,contrast_low
63,A,gaussian_noise,gaussian_noise
63,B,gaussian_noise,gaussian_noise
63,A,gaussian_blur,gaussian_blur
63,B,gaussian_blur,gaussian_blur
64,A,clean,clean
64,B,clean,clean
64,A,brightness_dark,brightness_dark
64,B,brightness_dark,brightness_dark
64,A,contrast_low,contrast_low
64,B,contrast_low,contrast_low
64,A,gaussian_noise,gaussian_noise
64,B,gaussian_noise,gaussian_noise
64,A,gaussian_blur,gaussian_blur
64,B,gaussian_blur,gaussian_blur
65,A,clean,clean
65,B,clean,clean
65,A,brightness_dark,brightness_dark
65,B,brightness_dark,brightness_dark
65,A,contrast_low,contrast_low
65,B,contrast_low,contrast_low
65,A,gaussian_noise,gaussian_noise
65,B,gaussian_noise,gaussian_noise
65,A,gaussian_blur,gaussian_blur
65,B,gaussian_blur,gaussian_blur
66,A,clean,clean
66,B,clean,clean
66,A,brightness_dark,brightness_dark
66,B,brightness_dark,brightness_dark
66,A,contrast_low,contrast_low
66,B,contrast_low,contrast_low
66,A,gaussian_noise,gaussian_noise
66,B,gaussian_noise,gaussian_noise
66,A,gaussian_blur,gaussian_blur
66,B,gaussian_blur,gaussian_blur
67,A,clean,clean
67,B,clean,clean
67,A,brightness_dark,brightness_dark
67,B,brightness_dark,brightness_dark
67,A,contrast_low,contrast_low
67,B,contrast_low,contrast_low
67,A,gaussian_noise,gaussian_noise
67,B,gaussian_noise,gaussian_noise
67,A,gaussian_blur,gaussian_blur
67,B,gaussian_blur,gaussian_blur
68,A,clean,clean
68,B,clean,clean
68,A,brightness_dark,brightness_dark
68,B,brightness_dark,brightness_dark
68,A,contrast_low,contrast_low
68,B,contrast_low,contrast_low
68,A,gaussian_noise,gaussian_noise
68,B,gaussian_noise,gaussian_noise
68,A,gaussian_blur,gaussian_blur
68,B,gaussian_blur,gaussian_blur
69,A,clean,clean
69,B,clean,clean
69,A,brightness_dark,brightness_dark
69,B,brightness_dark,brightness_dark
69,A,contrast_low,contrast_low
69,B,contrast_low,contrast_low
69,A,gaussian_noise,gaussian_noise
69,B,gaussian_noise,gaussian_noise
69,A,gaussian_blur,gaussian_blur
69,B,gaussian_blur,gaussian_blur
70,A,clean,clean
70,B,clean,clean
70,A,brightness_dark,brightness_dark
70,B,brightness_dark,brightness_dark
70,A,contrast_low,contrast_low
70,B,contrast_low,contrast_low
70,A,gaussian_noise,gaussian_noise
70,B,gaussian_noise,gaussian_noise
70,A,gaussian_blur,gaussian_blur
70,B,gaussian_blur,gaussian_blur
71,A,clean,gaussian_blur
71,B,clean,gaussian_blur
71,A,brightness_dark,brightness_dark
71,B,brightness_dark,brightness_dark
71,A,contrast_low,contrast_low
71,B,contrast_low,contrast_low
71,A,gaussian_noise,gaussian_noise
71,B,gaussian_noise,gaussian_noise
71,A,gaussian_blur,gaussian_blur
71,B,gaussian_blur,gaussian_blur
72,A,clean,clean
72,B,clean,clean
72,A,brightness_dark,brightness_dark
72,B,brightness_dark,brightness_dark
72,A,contrast_low,contrast_low
72,B,contrast_low,contrast_low
72,A,gaussian_noise,gaussian_noise
72,B,gaussian_noise,gaussian_noise
72,A,gaussian_blur,gaussian_blur
72,B,gaussian_blur,gaussian_blur
73,A,clean,clean
73,B,clean,clean
73,A,brightness_dark,brightness_dark
73,B,brightness_dark,brightness_dark
73,A,contrast_low,contrast_low
73,B,contrast_low,contrast_low
73,A,gaussian_noise,gaussian_noise
73,B,gaussian_noise,gaussian_noise
73,A,gaussian_blur,gaussian_blur
73,B,gaussian_blur,gaussian_blur
74,A,clean,clean
74,B,clean,clean
74,A,brightness_dark,brightness_dark
74,B,brightness_dark,brightness_dark
74,A,contrast_low,contrast_low
74,B,contrast_low,contrast_low
74,A,gaussian_noise,gaussian_noise
74,B,gaussian_noise,gaussian_noise
74,A,gaussian_blur,contrast_low
74,B,gaussian_blur,contrast_low
75,A,clean,clean
75,B,clean,clean
75,A,brightness_dark,brightness_dark
75,B,brightness_dark,brightness_dark
75,A,contrast_low,contrast_low
75,B,contrast_low,contrast_low
75,A,gaussian_noise,gaussian_noise
75,B,gaussian_noise,gaussian_noise
75,A,gaussian_blur,gaussian_blur
75,B,gaussian_blur,gaussian_blur
76,A,clean,clean
76,B,clean,clean
76,A,brightness_dark,brightness_dark
76,B,brightness_dark,brightness_dark
76,A,contrast_low,contrast_low
76,B,contrast_low,contrast_low
76,A,gaussian_noise,gaussian_noise
76,B,gaussian_noise,gaussian_noise
76,A,gaussian_blur,gaussian_blur
76,B,gaussian_blur,gaussian_blur
77,A,clean,clean
77,B,clean,clean
77,A,brightness_dark,brightness_dark
77,B,brightness_dark,brightness_dark
77,A,contrast_low,contrast_low
77,B,contrast_low,contrast_low
77,A,gaussian_noise,gaussian_noise
77,B,gaussian_noise,gaussian_noise
77,A,gaussian_blur,gaussian_blur
77,B,gaussian_blur,gaussian_blur
78,A,clean,clean
78,B,clean,clean
78,A,brightness_dark,brightness_dark
78,B,brightness_dark,brightness_dark
78,A,contrast_low,contrast_low
78,B,contrast_low,contrast_low
78,A,gaussian_noise,gaussian_noise
78,B,gaussian_noise,gaussian_noise
78,A,gaussian_blur,gaussian_blur
78,B,gaussian_blur,gaussian_blur
79,A,clean,clean
79,B,clean,clean
79,A,brightness_dark,brightness_dark
79,B,brightness_dark,brightness_dark
79,A,contrast_low,contrast_low
79,B,contrast_low,contrast_low
79,A,gaussian_noise,gaussian_noise
79,B,gaussian_noise,gaussian_noise
79,A,gaussian_blur,gaussian_blur
79,B,gaussian_blur,gaussian_blur
80,A,clean,clean
80,B,clean,clean
80,A,brightness_dark,brightness_dark
80,B,brightness_dark,brightness_dark
80,A,contrast_low,contrast_low
80,B,contrast_low,contrast_low
80,A,gaussian_noise,gaussian_noise
80,B,gaussian_noise,gaussian_noise
80,A,gaussian_blur,gaussian_blur
80,B,gaussian_blur,gaussian_blur
81,A,clean,clean
81,B,clean,clean
81,A,brightness_dark,brightness_dark
81,B,brightness_dark,brightness_dark
81,A,contrast_low,contrast_low
81,B,contrast_low,contrast_low
81,A,gaussian_noise,gaussian_noise
81,B,gaussian_noise,gaussian_noise
81,A,gaussian_blur,gaussian_blur
81,B,gaussian_blur,gaussian_blur
82,A,clean,clean
82,B,clean,clean
82,A,brightness_dark,brightness_dark
82,B,brightness_dark,brightness_dark
82,A,contrast_low,contrast_low
82,B,contrast_low,contrast_low
82,A,gaussian_noise,gaussian_noise
82,B,gaussian_noise,gaussian_noise
